planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,biomass boiler capture,FOM,3.0,%/year,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,VOM,3.1433,EUR/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,capture_rate,0.95,per unit,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,compression-electricity-input,0.075,MWh/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,compression-heat-output,0.13,MWh/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,electricity-input,0.02,MWh/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,heat-input,0.66,MWh/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,heat-output,0.66,MWh/tCO2,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,investment,2011735.3618,EUR/(tCO2/h),technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
all,biomass boiler capture,lifetime,25.0,years,technology-data v0.15.0 costs_2050.csv (REMOVE once pypsa-eur supports >=v0.15.0),401.b Post comb - Large biomass
